object_name,address,Информация о публикации,Цена,Объявление от,Тип аренды,Тип квартиры,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Тип,Этаж,Этажность дома,url,Топ
Продам 2-комнатную квартиру в Госпитальном переулке.,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",260 000 $,Бизнес,,Вторичный рынок,2,125 м2,0,0,,1,2,https://www.olx.ua/obyavlenie/prodam-2-komnatnuyu-kvartiru-v-gospitalnom-pereulke-IDnjo9E.html
Срочно продам квартиру: 7-я улица/Маршала Жукова пр.,"Одесса, Одесская область, Киевский","Добавлено: в 00:30, 22 февраля 2017,",32 000 $,Бизнес,,Вторичный рынок,2,110 м2,0,0,,1,6,https://www.olx.ua/obyavlenie/srochno-prodam-kvartiru-7-ya-ulitsa-marshala-zhukova-pr-IDotbSO.html
Продам 1-комнатную квартиру по ул. Атамана Головатого.,"Одесса, Одесская область, Суворовский","Добавлено: в 00:30, 22 февраля 2017,",16 750 $,Бизнес,,Вторичный рынок,1,34 м2,0,0,,2,2,https://www.olx.ua/obyavlenie/prodam-1-komnatnuyu-kvartiru-po-ul-atamana-golovatogo-IDnnKnO.html
Продам квартиру в ЖК Тенистый,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",370 000 $,Бизнес,,Вторичный рынок,3,215 м2,107 м2,21 м2,,7,9,https://www.olx.ua/obyavlenie/prodam-kvartiru-v-zhk-tenistyy-IDlSCPK.html
Продам 2-комнатную квартиру на 6-й станции Большого Фонтана.,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",46 000 $,Бизнес,,Вторичный рынок,2,50 м2,28 м2,7 м2,,8,9,https://www.olx.ua/obyavlenie/prodam-2-komnatnuyu-kvartiru-na-6-y-stantsii-bolshogo-fontana-IDngWJo.html
Продам 4-комнатную квартиру в ЖК Звездный городок-1.,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",250 000 $,Бизнес,,Вторичный рынок,4,113 м2,0,0,,11,14,https://www.olx.ua/obyavlenie/prodam-4-komnatnuyu-kvartiru-v-zhk-zvezdnyy-gorodok-1-IDoseAc.html
Продам 3-комнатную квартиру по ул. Маршала Говорова.,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",60 000 $,Бизнес,,Вторичный рынок,3,55 м2,0,0,,5,9,https://www.olx.ua/obyavlenie/prodam-3-komnatnuyu-kvartiru-po-ul-marshala-govorova-IDotng8.html
Продам 2-комнатную квартиру в ЖК Перекресток.,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",140 000 $,Бизнес,,Вторичный рынок,2,83 м2,0,0,,18,22,https://www.olx.ua/obyavlenie/prodam-2-komnatnuyu-kvartiru-v-zhk-perekrestok-IDlVgas.html
Продам 3-комнатную квартиру в Светлом переулке.,"Одесса, Одесская область, Приморский","Добавлено: в 00:30, 22 февраля 2017,",155 000 $,Бизнес,,Вторичный рынок,3,120 м2,0,0,,6,11,https://www.olx.ua/obyavlenie/prodam-3-komnatnuyu-kvartiru-v-svetlom-pereulke-IDlT1e8.html
2-х комнатная квартира.Озерки.,"Одесса, Одесская область, Малиновский","Опубликовано с мобильного в 00:22, 22 февраля 2017,",37 000 $,Частного лица,,Вторичный рынок,2,55 м2,30 м2,10 м2,Кирпичный,1,4,https://www.olx.ua/obyavlenie/2-h-komnatnaya-kvartira-ozerki-IDpSItS.html
Продам 3-комнатную квартиру: Фонтанская дор./Франко.,"Одесса, Одесская область, Приморский","Добавлено: в 00:15, 22 февраля 2017,",80 000 $,Бизнес,,Вторичный рынок,3,75 м2,40 м2,21 м2,,8,9,https://www.olx.ua/obyavlenie/prodam-3-komnatnuyu-kvartiru-fontanskaya-dor-franko-IDnJtIi.html
